animal	region	vacuole_score
13974	thalamus	5
13974	dentate_gyrus	1
13974	hippocampus	1
13974	lmol	1
13974	cortex	1
13974	cerebellum	5
13974	brain_stem	5
13974	olf_glomeruli	1
13974	olf_granule_cells	5
13975	dentate_gyrus	1
13975	hippocampus	1
13975	lmol	1
13975	cortex	1
13975	cerebellum	5
13975	olf_glomeruli	1
13975	olf_granule_cells	1
13982	thalamus	1
13982	dentate_gyrus	1
13982	hippocampus	1
13982	lmol	1
13982	cortex	1
13982	brain_stem	5
13982	olf_glomeruli	1
13982	olf_granule_cells	4
13983	thalamus	1
13983	dentate_gyrus	1
13983	hippocampus	1
13983	lmol	1
13983	cortex	1
13983	cerebellum	6
13983	brain_stem	5
13983	olf_glomeruli	1
13983	olf_granule_cells	5
13984	thalamus	1
13984	dentate_gyrus	1
13984	hippocampus	1
13984	lmol	3
13984	cortex	1
13984	cerebellum	6
13984	brain_stem	7
13984	olf_glomeruli	1
13984	olf_granule_cells	6
13985	thalamus	1
13985	dentate_gyrus	1
13985	hippocampus	1
13985	lmol	3
13985	cortex	1
13985	cerebellum	5
13985	brain_stem	5
13985	olf_glomeruli	1
13985	olf_granule_cells	5
13986	thalamus	1
13986	dentate_gyrus	1
13986	hippocampus	1
13986	lmol	1
13986	cortex	1
13986	cerebellum	5
13986	brain_stem	5
13986	olf_glomeruli	1
13986	olf_granule_cells	5
13970	thalamus	5
13970	dentate_gyrus	1
13970	hippocampus	1
13970	lmol	1
13970	cortex	1
13970	cerebellum	7
13970	brain_stem	5
13970	olf_glomeruli	1
13970	olf_granule_cells	5
13867	thalamus	4
13867	dentate_gyrus	1
13867	hippocampus	1
13867	lmol	1
13867	cortex	1
13867	cerebellum	4
13867	brain_stem	5
13867	olf_glomeruli	1
13867	olf_granule_cells	1
13916	thalamus	1
13916	dentate_gyrus	1
13916	hippocampus	1
13916	lmol	1
13916	cortex	1
13916	cerebellum	4
13916	brain_stem	6
13916	olf_glomeruli	1
13916	olf_granule_cells	1
13917	thalamus	1
13917	dentate_gyrus	1
13917	hippocampus	1
13917	lmol	1
13917	cortex	1
13917	cerebellum	4
13917	brain_stem	6
13917	olf_glomeruli	1
13917	olf_granule_cells	1
13865	thalamus	1
13865	dentate_gyrus	1
13865	hippocampus	1
13865	lmol	1
13865	cortex	1
13865	cerebellum	1
13865	brain_stem	1
13865	olf_glomeruli	1
13865	olf_granule_cells	5
13866	thalamus	1
